# run 1000ns
T=665000 | rst=0 elec=1 gen=0 |floor=5 CUR_FLOOR=5 TARGET=5 next_target=5 direction=1 r_above=0 r_below=0 req=0 current_state=                     door_open | UP=0 DOWN=0 | DO=1 DC=0 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=675000 | rst=0 elec=1 gen=0 |floor=5 CUR_FLOOR=5 TARGET=5 next_target=5 direction=1 r_above=0 r_below=0 req=0 current_state=                     door_open | UP=0 DOWN=0 | DO=1 DC=0 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=685000 | rst=0 elec=1 gen=0 |floor=5 CUR_FLOOR=5 TARGET=5 next_target=5 direction=1 r_above=0 r_below=0 req=0 current_state=                     door_open | UP=0 DOWN=0 | DO=1 DC=0 | L=1 F=1 ALARM=0 | estop=0 weight=400

=== TC6: Move down to ground ===
T=695000 | rst=0 elec=1 gen=0 |floor=0 CUR_FLOOR=5 TARGET=5 next_target=5 direction=1 r_above=0 r_below=0 req=1 current_state=                     door_open | UP=0 DOWN=0 | DO=1 DC=0 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=705000 | rst=0 elec=1 gen=0 |floor=0 CUR_FLOOR=5 TARGET=5 next_target=0 direction=1 r_above=0 r_below=1 req=0 current_state=                     door_open | UP=0 DOWN=0 | DO=1 DC=0 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=715000 | rst=0 elec=1 gen=0 |floor=0 CUR_FLOOR=5 TARGET=0 next_target=0 direction=0 r_above=0 r_below=1 req=0 current_state=                     door_open | UP=0 DOWN=0 | DO=1 DC=0 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=725000 | rst=0 elec=1 gen=0 |floor=0 CUR_FLOOR=5 TARGET=0 next_target=0 direction=0 r_above=0 r_below=1 req=0 current_state=                     door_open | UP=0 DOWN=0 | DO=1 DC=0 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=735000 | rst=0 elec=1 gen=0 |floor=0 CUR_FLOOR=5 TARGET=0 next_target=0 direction=0 r_above=0 r_below=1 req=0 current_state=                     door_open | UP=0 DOWN=0 | DO=1 DC=0 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=745000 | rst=0 elec=1 gen=0 |floor=0 CUR_FLOOR=5 TARGET=0 next_target=0 direction=0 r_above=0 r_below=1 req=0 current_state=                    door_close | UP=0 DOWN=0 | DO=0 DC=1 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=755000 | rst=0 elec=1 gen=0 |floor=0 CUR_FLOOR=5 TARGET=0 next_target=0 direction=0 r_above=0 r_below=1 req=0 current_state=                          idle | UP=0 DOWN=0 | DO=0 DC=1 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=765000 | rst=0 elec=1 gen=0 |floor=0 CUR_FLOOR=5 TARGET=0 next_target=0 direction=0 r_above=0 r_below=1 req=0 current_state=                     move_down | UP=0 DOWN=1 | DO=0 DC=1 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=775000 | rst=0 elec=1 gen=0 |floor=0 CUR_FLOOR=4 TARGET=0 next_target=0 direction=0 r_above=0 r_below=1 req=0 current_state=                     move_down | UP=0 DOWN=1 | DO=0 DC=1 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=785000 | rst=0 elec=1 gen=0 |floor=0 CUR_FLOOR=3 TARGET=0 next_target=0 direction=0 r_above=0 r_below=1 req=0 current_state=                     move_down | UP=0 DOWN=1 | DO=0 DC=1 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=795000 | rst=0 elec=1 gen=0 |floor=0 CUR_FLOOR=2 TARGET=0 next_target=0 direction=0 r_above=0 r_below=1 req=0 current_state=                     move_down | UP=0 DOWN=1 | DO=0 DC=1 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=805000 | rst=0 elec=1 gen=0 |floor=0 CUR_FLOOR=1 TARGET=0 next_target=0 direction=0 r_above=0 r_below=1 req=0 current_state=                     move_down | UP=0 DOWN=1 | DO=0 DC=1 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=815000 | rst=0 elec=1 gen=0 |floor=0 CUR_FLOOR=0 TARGET=0 next_target=0 direction=0 r_above=0 r_below=0 req=0 current_state=                     move_down | UP=0 DOWN=1 | DO=0 DC=1 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=825000 | rst=0 elec=1 gen=0 |floor=0 CUR_FLOOR=0 TARGET=0 next_target=0 direction=0 r_above=0 r_below=0 req=0 current_state=                  weight_check | UP=0 DOWN=0 | DO=0 DC=1 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=835000 | rst=0 elec=1 gen=0 |floor=0 CUR_FLOOR=0 TARGET=0 next_target=0 direction=0 r_above=0 r_below=0 req=0 current_state=                     door_open | UP=0 DOWN=0 | DO=1 DC=0 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=845000 | rst=0 elec=1 gen=0 |floor=0 CUR_FLOOR=0 TARGET=0 next_target=0 direction=0 r_above=0 r_below=0 req=0 current_state=                     door_open | UP=0 DOWN=0 | DO=1 DC=0 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=855000 | rst=0 elec=1 gen=0 |floor=0 CUR_FLOOR=0 TARGET=0 next_target=0 direction=0 r_above=0 r_below=0 req=0 current_state=                     door_open | UP=0 DOWN=0 | DO=1 DC=0 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=865000 | rst=0 elec=1 gen=0 |floor=0 CUR_FLOOR=0 TARGET=0 next_target=0 direction=0 r_above=0 r_below=0 req=0 current_state=                     door_open | UP=0 DOWN=0 | DO=1 DC=0 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=875000 | rst=0 elec=1 gen=0 |floor=0 CUR_FLOOR=0 TARGET=0 next_target=0 direction=0 r_above=0 r_below=0 req=0 current_state=                     door_open | UP=0 DOWN=0 | DO=1 DC=0 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=885000 | rst=0 elec=1 gen=0 |floor=0 CUR_FLOOR=0 TARGET=0 next_target=0 direction=0 r_above=0 r_below=0 req=0 current_state=                     door_open | UP=0 DOWN=0 | DO=1 DC=0 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=895000 | rst=0 elec=1 gen=0 |floor=0 CUR_FLOOR=0 TARGET=0 next_target=0 direction=0 r_above=0 r_below=0 req=0 current_state=                     door_open | UP=0 DOWN=0 | DO=1 DC=0 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=905000 | rst=0 elec=1 gen=0 |floor=0 CUR_FLOOR=0 TARGET=0 next_target=0 direction=0 r_above=0 r_below=0 req=0 current_state=                     door_open | UP=0 DOWN=0 | DO=1 DC=0 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=915000 | rst=0 elec=1 gen=0 |floor=0 CUR_FLOOR=0 TARGET=0 next_target=0 direction=0 r_above=0 r_below=0 req=0 current_state=                     door_open | UP=0 DOWN=0 | DO=1 DC=0 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=925000 | rst=0 elec=1 gen=0 |floor=0 CUR_FLOOR=0 TARGET=0 next_target=0 direction=0 r_above=0 r_below=0 req=0 current_state=                     door_open | UP=0 DOWN=0 | DO=1 DC=0 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=935000 | rst=0 elec=1 gen=0 |floor=0 CUR_FLOOR=0 TARGET=0 next_target=0 direction=0 r_above=0 r_below=0 req=0 current_state=                    door_close | UP=0 DOWN=0 | DO=0 DC=1 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=945000 | rst=0 elec=1 gen=0 |floor=0 CUR_FLOOR=0 TARGET=0 next_target=0 direction=0 r_above=0 r_below=0 req=0 current_state=                          idle | UP=0 DOWN=0 | DO=0 DC=1 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=955000 | rst=0 elec=1 gen=0 |floor=0 CUR_FLOOR=0 TARGET=0 next_target=0 direction=0 r_above=0 r_below=0 req=0 current_state=                          idle | UP=0 DOWN=0 | DO=0 DC=1 | L=1 F=1 ALARM=0 | estop=0 weight=400
T=965000 | rst=0 elec=1 gen=0 |floor=0 CUR_FLOOR=0 TARGET=0 next_target=0 direction=0 r_above=0 r_below=0 req=0 current_state=                          idle | UP=0 DOWN=0 | DO=0 DC=1 | L=1 F=1 ALARM=0 | estop=0 weight=400
